Strain,gisaid_epi_isl
Wuhan/WH01/2019,EPI_ISL_406798
Singapore/165/2020,EPI_ISL_462283
Japan/PG-0015/2020,EPI_ISL_479799
Japan/KY-V-029/2020,EPI_ISL_408669
UnitedArabEmirates/skmc-0381517/2020,EPI_ISL_582609
Australia/QLDID922/2020,EPI_ISL_418799
Australia/VIC15/2020,EPI_ISL_419735
Australia/WA34/2020,EPI_ISL_470851
Australia/SAP097/2020,EPI_ISL_468039
Israel/ISR_JP0320/2020,EPI_ISL_419211
Singapore/3Clin/2020,EPI_ISL_418994
Indonesia/JK-EIJK44/2020,EPI_ISL_766047
Indonesia/JB-TFRIC19-R46646/2020,EPI_ISL_754239
Singapore/473/2020,EPI_ISL_476809
Iceland/13/2020,EPI_ISL_417765
Italy/LAZ-INMI-SPL1/2020,EPI_ISL_412974
Georgia/Tb-54/2020,EPI_ISL_415641
Sweden/20-02114/2020,EPI_ISL_476139
Taiwan/2/2020,EPI_ISL_406031
Australia/VIC02/2020,EPI_ISL_416410
Uruguay/UY-10/2020,EPI_ISL_429257
Australia/QLD1158/2020,EPI_ISL_639761
Timor-Leste/TL25/2020,EPI_ISL_456600
NewZealand/20VR1900/2020,EPI_ISL_456301
Singapore/52cul/2020,EPI_ISL_574480
Australia/QLD1095/2020,EPI_ISL_593614
NewZealand/20VR3209/2020,EPI_ISL_579494
Ireland/LS-NVRL-20G44005/2020,EPI_ISL_681920
Iceland/572/2020,EPI_ISL_424592
SouthKorea/KCDC2181/2020,EPI_ISL_506975
SouthKorea/IHC614/2020,EPI_ISL_540995
Australia/NSW76/2020,EPI_ISL_427704
Aruba/AW-RIVM-10101/2020,EPI_ISL_547445
Aruba/AW-RIVM-10122/2020,EPI_ISL_547449
Greece/52_37266/2020,EPI_ISL_437910
Ireland/CE-NVRL-AIIDV1105v7/2020,EPI_ISL_644338
Nigeria/OY045A-CV35/2020,EPI_ISL_455431
Iraq/BAS-2/2020,EPI_ISL_907075
SriLanka/CDR142/2020,EPI_ISL_525474
Iran/AK-SARS-27/2020,EPI_ISL_1398364
USA/NY1-PV08001/2020,EPI_ISL_414476
Iran/Gorgan-NIC992/2020,EPI_ISL_959275
Canada/Qc-LSPQ-L00210314/2020,EPI_ISL_535716
Bahrein/BAH-01/2020,EPI_ISL_483542
Australia/ACT0026/2020,EPI_ISL_498493
Tunisia/7899/2020,EPI_ISL_763067
Iran/AK-SARS-48/2020,EPI_ISL_1398925
Iran/AK-SARS-A7/2020,EPI_ISL_1398937
Iran/Tehran-09/2020,EPI_ISL_862077
Bahrein/BAH-18/2020,EPI_ISL_483559
Bahrein/BAH-25/2020,EPI_ISL_483639
Bahrein/BAH-13/2020,EPI_ISL_483554
Bahrein/BAH-21/2020,EPI_ISL_483562
Iran/Urmia-715U/2020,EPI_ISL_1014683
Australia/NSW05/2020,EPI_ISL_412975
Kuwait/KU17/2020,EPI_ISL_416542
NewZealand/20VR0174/2020,EPI_ISL_413490
SriLanka/CDR-SL7066/2020,EPI_ISL_525481
Lebanon/S5_762/2020,EPI_ISL_450512
Australia/NSW09/2020,EPI_ISL_413595
India/LA-NCDC-01614/2020,EPI_ISL_435104
Bahrain/140008296/2020,EPI_ISL_510528
Canada/ON_SHSC-01/2020,EPI_ISL_450747
Iran/GRC-43/2020,EPI_ISL_596453
Oman/RESP-20-797/2020,EPI_ISL_457701
Bahrein/BAH-03/2020,EPI_ISL_483544
Kazakhstan/26491/2020,EPI_ISL_454508
Wuhan/Hu-1/2019,EPI_ISL_402125
Nepal/61/2020,EPI_ISL_410301
Wuhan/0125-A170/2020,EPI_ISL_493161
Japan/NA-20-05-1/2020,EPI_ISL_410531
Indonesia/JI-ITD-136N/2020,EPI_ISL_529961
Guangzhou/GZMU0058/2020,EPI_ISL_429101
Finland/1/2020,EPI_ISL_407079
Singapore/1135/2020,EPI_ISL_648043
Curacao/CW-RIVM-10093/2020,EPI_ISL_547451
Australia/QLD1186/2020,EPI_ISL_639777
HongKong/HKU-200723-051/2020,EPI_ISL_497818
NewZealand/20VR1020/2020,EPI_ISL_456185
Ecuador/HEE-01/2020,EPI_ISL_417482
Cambodia/0012/2020,EPI_ISL_411902
Australia/NSW10/2020,EPI_ISL_413596
Australia/NSW219/2020,EPI_ISL_427643
Indonesia/SB-NIHRD-C007020/2020,EPI_ISL_910014
Indonesia/JK-EIJK25/2020,EPI_ISL_766038
Indonesia/JK-EIJK-01/2020,EPI_ISL_437189
USA/CA-CZB-1253/2020,EPI_ISL_454673
Indonesia/BT-EIJK36/2020,EPI_ISL_574611
England/20099015104/2020,EPI_ISL_464202
Malaysia/IMR_WC1097/2020,EPI_ISL_430441
Egypt/CCHE57357-A-26/2020,EPI_ISL_812802
Iran/Urmia-931U/2020,EPI_ISL_1014684
Indonesia/JK-EIJK-02/2020,EPI_ISL_437190
USA/WI-WSLH-200263/2020,EPI_ISL_578473
Vietnam/19-01S/2020,EPI_ISL_418269
Singapore/1nan/2020,EPI_ISL_482678
Singapore/2nan/2020,EPI_ISL_482679
Malaysia/UNIMAS-M3482/2020,EPI_ISL_718166
Malaysia/UNIMAS-14960/2020,EPI_ISL_718143
Taiwan/CGMH-CGU-26/2020,EPI_ISL_452178
Guam/GU_NHG_01/2020,EPI_ISL_444998
Pakistan/KP-RMI-01/2020,EPI_ISL_632908
NewZealand/20CV0306/2020,EPI_ISL_622799
Madagascar/VIRO-2722/2020,EPI_ISL_677635
Timor-Leste/TL17/2020,EPI_ISL_456605
Cambodia/2928/2020,EPI_ISL_956396
India/TG-CCMB-J207/2020,EPI_ISL_447570
Singapore/506/2020,EPI_ISL_479584
Singapore/865/2020,EPI_ISL_527374
Singapore/1389/2020,EPI_ISL_645116
Singapore/236/2020,EPI_ISL_462354
Singapore/1307/2020,EPI_ISL_648794
Singapore/699/2020,EPI_ISL_498597
Singapore/749/2020,EPI_ISL_500564
Singapore/757/2020,EPI_ISL_500571
Philippines/RITM-07/2020,EPI_ISL_430845
Myanmar/MMC_137/2020,EPI_ISL_512844
Malaysia/MGI-MAEPS41/2020,EPI_ISL_582124
Malaysia/IMR_WC80031/2020,EPI_ISL_490090
Malaysia/MGI-MAEPS54/2020,EPI_ISL_528743
Malaysia/MGI-MAEPS67/2020,EPI_ISL_528744
Malaysia/3097/2020,EPI_ISL_501200
HongKong/HKU-200723-105/2020,EPI_ISL_498270
Gambia/GC19-026/2020,EPI_ISL_428856
SierraLeone/KGH-G-8604/2020,EPI_ISL_512814
PapuaNewGuinea/3/2020,EPI_ISL_693473
Australia/QLD1340/2020,EPI_ISL_849683
PapuaNewGuinea/10/2020,EPI_ISL_693480
PapuaNewGuinea/13/2020,EPI_ISL_693483
PapuaNewGuinea/6/2020,EPI_ISL_693476
PapuaNewGuinea/7/2020,EPI_ISL_693477
PapuaNewGuinea/11/2020,EPI_ISL_693481
PapuaNewGuinea/12/2020,EPI_ISL_693482
PapuaNewGuinea/19/2020,EPI_ISL_1307644
PapuaNewGuinea/20/2020,EPI_ISL_1307645
PapuaNewGuinea/18/2020,EPI_ISL_1307643
Australia/QLD1535/2021,EPI_ISL_944744
PapuaNewGuinea/28/2020,EPI_ISL_1307653
PapuaNewGuinea/15/2020,EPI_ISL_1307640
PapuaNewGuinea/33/2020,EPI_ISL_1307658
Australia/QLD1525/2021,EPI_ISL_1300533
PapuaNewGuinea/PNG227/2021,EPI_ISL_1424619
PapuaNewGuinea/PNG234/2021,EPI_ISL_1424625
PapuaNewGuinea/PNG245/2021,EPI_ISL_1424635
PapuaNewGuinea/41/2020,EPI_ISL_1307668
PapuaNewGuinea/37/2020,EPI_ISL_1307664
PapuaNewGuinea/39/2020,EPI_ISL_1307666
PapuaNewGuinea/PNG085/2021,EPI_ISL_1424519
PapuaNewGuinea/12/2021,EPI_ISL_1322329
PapuaNewGuinea/13/2021,EPI_ISL_1322330
PapuaNewGuinea/51/2020,EPI_ISL_1322326
PapuaNewGuinea/46/2020,EPI_ISL_1322321
PapuaNewGuinea/50/2020,EPI_ISL_1322325
PapuaNewGuinea/49/2020,EPI_ISL_1322324
PapuaNewGuinea/48/2020,EPI_ISL_1322323
PapuaNewGuinea/47/2020,EPI_ISL_1322322
PapuaNewGuinea/53/2020,EPI_ISL_1322328
PapuaNewGuinea/52/2020,EPI_ISL_1322327
SouthKorea/KCDC2061/2020,EPI_ISL_497962
SouthKorea/KCDC07/2020,EPI_ISL_412871
Thailand/MUMT-3/2020,EPI_ISL_493137
Thailand/CU-SI206685-NST/2020,EPI_ISL_918162
Vietnam/38238/2020,EPI_ISL_660541
Vietnam/38142/2020,EPI_ISL_416427
SouthKorea/KCDC2013/2020,EPI_ISL_426183
Taiwan/CGMH-CGU-29/2020,EPI_ISL_464093
Mexico/ZAC-InDRE-IBT-49/2020,EPI_ISL_1301519
Australia/NSW04/2020,EPI_ISL_417030
Shandong/2020C1240152/2020,EPI_ISL_962574
Japan/TY-WK-012/2020,EPI_ISL_408665
Japan/TY-WK-501/2020,EPI_ISL_408666
Thailand/Bangkok_580/2020,EPI_ISL_447918
Thailand/SI202205-NT/2020,EPI_ISL_437616
Vietnam/PIHCM-14/2020,EPI_ISL_654866
Singapore/906/2020,EPI_ISL_536447
USA/CA-CDPH-UC9/2020,EPI_ISL_413928
Australia/WA310/2020,EPI_ISL_596853
Uruguay/UY-8/2020,EPI_ISL_426583
Ecuador/USFQ-165/2020,EPI_ISL_516650
Australia/VIC1358/2020,EPI_ISL_468067
CostaRica/INC-0049/2020,EPI_ISL_512655
HongKong/HKU-907b/2020,EPI_ISL_434568
Taiwan/3/2020,EPI_ISL_411926
Australia/NSW01/2020,EPI_ISL_407893
Bolivia/26958/2020,EPI_ISL_837576
Uruguay/UY-NYUMC860/2020,EPI_ISL_457956
Uruguay/UY-NYUMC844/2020,EPI_ISL_457940
Uruguay/UY-NYUMC845/2020,EPI_ISL_457941
Panama/328709/2020,EPI_ISL_496605
Israel/CVL-n14268/2020,EPI_ISL_514308
Australia/TAS17/2020,EPI_ISL_522622
Australia/TAS108/2020,EPI_ISL_522573
Australia/NSW2026/2020,EPI_ISL_500605
Australia/SAP373/2020,EPI_ISL_492138
Australia/TAS66/2020,EPI_ISL_522738
NewZealand/20CV0297/2020,EPI_ISL_622794
Australia/SAP253/2020,EPI_ISL_468027
Panama/GMI-PA426757/2020,EPI_ISL_1225515
Kazakhstan/18287/2020,EPI_ISL_454580
Kazakhstan/16173/2020,EPI_ISL_454497
Mexico/NLE-UANL-001/2020,EPI_ISL_779169
Panama/334256/2020,EPI_ISL_496770
Panama/GMI-PA342491/2020,EPI_ISL_1225337
Panama/GMI-PA363699/2020,EPI_ISL_1225422
Panama/337660/2020,EPI_ISL_496863
Panama/GMI-PA427748/2020,EPI_ISL_1225518
Ecuador/USFQ-556/2020,EPI_ISL_728204
Panama/GMI-PA571783/2020,EPI_ISL_1225574
Panama/GMI-PA574196/2020,EPI_ISL_1225578
Panama/GMI-PA584303/2020,EPI_ISL_1001458
Australia/QLD1511/2021,EPI_ISL_1300526
CostaRica/INC-0228/2021,EPI_ISL_914834
CostaRica/INC-0252/2021,EPI_ISL_1067593
USA/MD-HP03310/2021,EPI_ISL_1305824
CostaRica/INC-0340/2021,EPI_ISL_1379432
CostaRica/INC-0278/2021,EPI_ISL_1196421
CostaRica/INC-0342/2021,EPI_ISL_1379434
CostaRica/INC-0333/2021,EPI_ISL_1379426
CostaRica/INC-0284/2021,EPI_ISL_1196427
