Strain,gisaid_epi_isl
Thailand/Bangkok_168/2020,EPI_ISL_450196
Taiwan/TSGH-37/2020,EPI_ISL_457733
Wuhan/IVDC-HB-05/2019,EPI_ISL_402121
Wuhan/IPBCAMS-WH-03/2019,EPI_ISL_403930
Wuhan/WH01/2019,EPI_ISL_406798
Shanghai/SH0036/2020,EPI_ISL_416345
Wuhan/HBCDC-HB-01/2019,EPI_ISL_402132
Hunan/HN-CIDC-P6/2020,EPI_ISL_539335
Wuhan/WIV05/2019,EPI_ISL_402128
Singapore/165/2020,EPI_ISL_462283
Australia/NSW02/2020,EPI_ISL_408976
Shanghai/SH0085/2020,EPI_ISL_416385
Wuhan/IME-WH03/2020,EPI_ISL_529215
Wuhan/IVDC-HB-GX02/2019,EPI_ISL_434534
Wuhan/IPBCAMS-WH-01/2019,EPI_ISL_402123
Netherlands/Oss_1363500/2020,EPI_ISL_413581
Netherlands/Tilburg_1363354/2020,EPI_ISL_413586
Japan/PG-0016/2020,EPI_ISL_479800
Japan/PG-0015/2020,EPI_ISL_479799
Japan/PG-0322/2020,EPI_ISL_479997
Japan/PG-0089/2020,EPI_ISL_479836
Japan/PG-0106/2020,EPI_ISL_479845
Japan/PG-0041/2020,EPI_ISL_479808
Japan/PG-0162/2020,EPI_ISL_479872
Malaysia/6359/2020,EPI_ISL_501220
Australia/VIC01/2020,EPI_ISL_406844
HongKong/HKPU2_1801/2020,EPI_ISL_417177
HongKong/HKPU20_3001/2020,EPI_ISL_417182
HongKong/HKPU54-0302/2020,EPI_ISL_419226
Taiwan/2/2020,EPI_ISL_406031
Sweden/01/2020,EPI_ISL_411951
Sweden/20-02114/2020,EPI_ISL_476139
HongKong/HKU-200723-081/2020,EPI_ISL_497848
HongKong/HKU-200723-004/2020,EPI_ISL_497771
HongKong/HKU-200723-045/2020,EPI_ISL_497812
HongKong/CUHK1/2020,EPI_ISL_416314
HongKong/HKPU86-1802/2020,EPI_ISL_419249
HongKong/HKPU89-2502/2020,EPI_ISL_419250
HongKong/HKPU73-0802/2020,EPI_ISL_419244
HongKong/HKPU70-1302/2020,EPI_ISL_419243
HongKong/HKPU36-0702/2020,EPI_ISL_418815
HongKong/HKPU_2801/2020,EPI_ISL_417190
HongKong/HKPU30_2901/2020,EPI_ISL_417188
HongKong/HKPU43-0202/2020,EPI_ISL_419218
HongKong/HKU-200723-024/2020,EPI_ISL_497791
HongKong/HKU-200723-089/2020,EPI_ISL_497856
HongKong/VM20002868/2020,EPI_ISL_414519
