rep,trimmed
CY093263,"CY093263, KC535312, KC535315, GQ385835, CY093359, CY089733, CY089393, CY089741, CY089749, CY089773, CY064847, CY064855, CY064879, CY064887, CY068145, CY068153, CY087159, CY068177, CY068185, CY068193, CY068201, CY068209, CY067929, CY068678, CY068694, CY068710, CY068225, CY068726, CY068734, CY068750, CY068758, CY068774, CY068790, CY068798, CY068241, CY068249, CY068257, CY092361, CY068289, CY068337, CY068345, CY068361, CY068814, CY068385, CY068425, CY067937, CY068441, CY068449, CY067229, CY068473, CY068481, CY068489, CY067253, CY068553, CY068593, CY068609, CY067985, CY072190, CY068025, CY068097, CY068830, CY072198, CY072206, CY068862, CY068878, CY068633, GQ385864, KF765560, KF765566, KF765554, GQ895034, CY062347, CY093335, GQ385818, KC535417, GQ385929, GQ385846, CY093271, CY093303, CY069429, CY062348, CY093351, CY147619, CY147723, JQ988039, CY113021, GQ385887, GQ385825, CY069469, GQ385932, CY069421, GQ895027, CY173511, CY173519, CY173527, CY173543, CY173559, CY173583, CY173591, CY050532, CY050636, CY058764, GQ894995, CY053652, CY053660, CY053662, CY053666, CY053672, GQ385891, GQ385894, CY069501, KC535355, GQ385935, GQ385862, GQ385918, CY093343, KP637966, GQ385920, FJ966245, GQ385904, GQ385829, GQ385876, GQ385923, GQ385832, GQ385926, GQ895010, KC535336, KC535337, KC535342, KC535331, GQ385849, GQ385851"
CY069461,"CY069461, CY069493"
CY093295,"CY093295, CY093327"
CY066511,"CY066511, CY080539, CY080555, CY089765, CY068718, CY068265, CY067197, CY068281, CY068409, CY067945, CY068585, CY067993, CY068001, CY077425, CY068057, CY089540, CY068073, CY068089, CY068113, CY068121, CY068129, CY082992, CY069301, CY093216, JX905406, JX905404, JX905407, CY091827, CY091839, GQ385841, GQ385882, JN256692, CY106600, CY115488, JN256694, CY115504, CY106616, JN256695, CY115512, CY106624, JN256696, JN256697, CY115520, CY106632, CY115528, CY106640, JN256698, JN256699, CY115536, CY106648, CY106656, JN256700, CY115544, CY106664, JN256701, CY115552, CY106672, JN256703, CY115568, CY106688, JN256705, CY115576, CY106696, JN256712, CY106752, CY115632, JN256713, CY106760, CY115640, JN256714, CY106768, JN256715, CY106776, CY115648, JN256716, CY106784, CY115656, JN256717, CY106792, CY115664, JN256718, CY106800, CY115672, JN256719, CY115680, CY106808, JN256720, CY106816, CY115688, JN256721, CY115696, CY106824, JN256730, CY106896, CY115760, CY115768, JN256732, CY106912, JN256733, CY115776, CY106920, JN256735, CY115792, CY106936, JN256736, CY106944, CY115800, JN256737, CY106952, CY115808, JN256738, CY106960, JN256740, CY115824, JN256742, CY106992, CY173551, CY050452, CY050460, CY050468, CY050588, CY050596, CY050604, CY050484, CY058748, CY050500, CY050508, CY050516, CY050524, CY050556, CY050572, CY050620, CY050628, CY050724, CY050644, CY050652, CY050668, CY050676, CY050684, CY050692, CY050716, CY050732, CY058756, CY050740, CY084385, CY080459, CY080467, CY050836, CY050788, CY058772, CY050796, CY050812, CY050804, CY058796, CY080483, CY050820, CY055099, CY089629, CY050828, CY058788, CY084401, CY084342, CY084417, KC535399, GQ895003, KC535372, KC535405, GQ293083, GQ293085, CY050111, CY050125, CY050127, CY050089, CY050090, KF014129, KF014201, KM069491, KM069492, KM069493, KM069494, JX437710, KM069496, KF014130, KF014202, CY100075, CY100077, CY100079, CY100081, KF014160, KM069490, GU271990, CY069349, KC535327"
CY061898,"CY061898, CY080547, CY080531, CY068625, CY068838, CY062329, CY062331, CY062335, CY062336, CY062337, CY062338, CY062339, KC535396, JN256691, CY106592, CY115480, JN256702, CY106680, CY115560, JN256706, CY106704, CY115584, JN256707, JN256708, CY115592, CY106712, CY106720, CY115600, JN256709, CY106728, CY115608, JN256734, CY115784, CY106928, JN256741, CY106984, GQ895044, KC535378, KM061040, KM061031, KM061037, KM061035, KM061034, KM061032, KM061030, CY050564, CY050708, CY080475, KC535363, KM069489, KM069495, CY100073, KM069488, GQ902793, GQ902825, KP638062, KM821344"
CY064815,"CY064815, CY068161, CY067221"
CY064823,"CY064823, CY066519, CY068377, CY068401, CY068417"
CY064863,"CY064863, CY068137, CY068169, CY068217, CY068702, CY068742, CY068806, CY068297, CY068329, CY068393, CY068457, CY068497, CY067245, CY068505, CY068513, CY068529, CY068569, CY068577, CY068601, CY067977, CY068105, CY068854, CY068870"
CY067921,"CY067921, CY067237, CY068561, CY068041, CY068822"
CY068233,"CY068233, CY068537"
